taxID	FSLB_count	GP143_count	GP157_count	GPR1_count	Galpha_count	Gbeta_count	Ggamma_count	Mth_count	Nematode_count	Olfactory_count	RBP1_count	STE2_count	STE3_count	TBP_count	Vomeronasal1_count	Vomeronasal2_count	cAMP_count	classA_count	classB1_count	classB2_count	classC_count	classF_count	classT_count
100035	2	0	0	4	5	1	1	0	0	0	3	1	1	4	0	0	1	0	0	0	0	0	0
1000413	0	0	0	0	1	1	4	0	0	0	6	0	0	3	0	0	1	0	0	0	1	0	0
1001832	1	0	0	2	3	1	1	0	0	0	3	1	1	1	0	0	2	0	0	0	0	0	0
1001833	1	0	0	2	4	1	1	0	0	0	3	1	1	1	0	0	2	0	0	0	0	0	0
1001938	1	0	0	2	4	1	1	0	0	0	3	1	1	1	0	0	2	0	0	0	0	0	0
10020	0	0	1	0	17	5	18	0	0	922	3	0	0	3	40	107	0	278	14	30	29	11	22
10029	0	1	1	0	21	5	14	0	0	770	3	0	0	2	8	18	0	249	15	24	33	9	10
10036	0	1	1	0	16	6	17	0	0	842	4	0	0	4	36	14	0	300	16	30	24	11	35
100452	0	0	1	0	21	3	3	14	0	0	4	0	0	2	0	0	1	589	27	17	28	9	0
100787	2	0	0	3	6	2	2	0	0	0	9	2	2	3	0	0	4	1	0	0	0	0	0
100819	0	1	1	0	14	4	12	0	0	27	2	0	0	3	0	0	0	272	17	21	18	11	2
100861	0	0	0	0	1	1	1	0	0	0	4	0	0	3	0	0	2	0	0	0	8	0	0
10090	0	1	1	0	16	5	18	0	0	1143	3	0	0	3	144	115	0	311	15	30	29	11	35
100902	1	0	0	4	3	1	1	0	0	0	3	1	1	1	0	0	5	0	0	0	0	0	0
100907	0	1	1	0	27	8	17	0	0	80	4	0	0	6	4	2	0	521	22	31	34	13	2
10103	0	1	1	0	18	5	20	0	0	997	3	0	0	4	69	55	0	295	15	27	32	11	30
1010633	0	0	0	0	3	2	7	0	0	0	12	0	0	5	0	0	0	0	0	0	0	0	0
101091	1	0	0	0	9	2	4	0	0	0	3	0	0	1	0	0	0	0	0	0	3	0	0
101097	6	0	0	0	8	2	2	0	0	0	3	0	0	1	0	0	0	0	0	0	2	0	0
101127	1	0	0	0	13	4	4	0	0	0	3	0	0	1	0	0	0	0	0	0	3	0	0
101142	2	0	0	0	11	3	2	0	0	0	3	0	0	1	0	0	0	0	0	0	7	0	0
10116	0	1	1	0	16	7	15	0	0	1146	3	0	0	3	61	62	0	295	15	30	26	11	36
101201	0	0	0	1	3	1	1	0	0	0	3	1	1	1	0	0	2	0	0	0	0	0	0
10141	0	1	1	0	18	5	18	0	0	744	3	0	0	3	3	38	0	275	16	29	22	10	18
10160	0	1	1	0	26	5	17	0	0	806	3	0	0	4	39	77	0	289	15	30	25	12	28
1016849	0	0	0	1	4	1	1	0	0	0	3	1	0	1	0	0	0	0	0	0	0	0	0
10181	0	1	1	0	17	8	15	0	0	1175	3	0	0	3	5	11	0	244	15	31	38	8	6
10195	0	0	0	0	10	2	6	7	0	0	3	0	0	4	0	0	0	187	7	5	8	2	0
10212	0	0	1	0	9	3	3	8	0	0	4	0	0	2	0	0	0	128	5	9	14	9	0
10228	0	0	0	0	8	3	2	0	0	0	3	0	0	2	0	0	2	399	5	56	76	2	0
102285	0	0	0	0	9	3	4	3	0	0	4	0	0	3	0	0	0	62	1	0	4	5	0
1026970	0	1	1	0	18	7	20	0	0	369	3	0	0	3	1	3	0	257	15	30	21	11	23
1028729	1	0	0	3	3	1	1	0	0	0	3	1	1	1	0	0	4	0	0	0	0	0	0
1033008	0	0	0	1	39	1	2	0	0	0	3	0	19	6	0	0	0	0	0	0	0	0	0
1033014	0	0	0	1	25	1	2	0	0	0	3	0	12	1	0	0	0	0	0	0	0	0	0
1033252	0	0	0	0	43	1	2	0	0	0	3	0	31	2	0	0	0	0	0	0	0	0	0
1033263	0	0	0	1	33	1	2	0	0	0	3	0	15	1	0	0	0	0	0	0	0	0	0
103349	0	0	0	0	1	1	2	0	0	0	9	0	0	1	0	0	1	0	0	0	0	0	0
103372	0	1	0	0	5	3	3	10	0	0	3	0	0	3	0	0	0	66	5	4	10	5	0
1035309	1	0	0	1	3	1	1	0	0	0	3	1	1	1	0	0	2	0	0	0	0	0	0
